,title,text,label,succ,meta,user,mentions,prev
0,German lawmakers approve 'no means no' rape law after Cologne assaults,Merkel would never say NO,1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,barryswallows,,
1,German lawmakers approve 'no means no' rape law after Cologne assaults,"Expect more and more women to be asking .. ""why are men no longer interested in me""! We're not going touch you until you pull our pants down!",1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,PostApocalypticHero,,
2,German lawmakers approve 'no means no' rape law after Cologne assaults,"Groping people in public wasn't already illegal? What's up with that, Deutschland?",0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,californiamojo,,
3,German lawmakers approve 'no means no' rape law after Cologne assaults,"Merkel, possible the only person in charge who is worse than what we have. Obama is trying his hardest though to get to Merkel's level. ""A 21-year-old Iraqi man was convicted of sexual assault and given a one-year suspended sentence. A 26-year-old Algerian man was convicted of abetting a sexual assault and attempted assault, and given the same sentence."" Sounds exactly like how Obama is trying to let all of the black people in this country get away with everything.",1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,MikeSte,,
4,German lawmakers approve 'no means no' rape law after Cologne assaults,"They know very well, no means NO! They need to pass a law making it legal to castrate those animals.",1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,scientist,,
5,German lawmakers approve 'no means no' rape law after Cologne assaults,look like merkel just want to get laid,1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,AllaGranovskaya,,
6,German lawmakers approve 'no means no' rape law after Cologne assaults,""" but criticized two measures in the bill that could see people who aren't directly involved in the assault punished and foreigners deported for sexual harassment"" Sounds like some German Legislators have the same mental disease the Democrats and Republicans who opposed Kate's Law had. Deporting people who are not citizens for acting like savages - how cruel!! (sarcasm)",1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,ElCampeador,,
7,German lawmakers approve 'no means no' rape law after Cologne assaults,"She said ""GO"", not ""NO"" ~ ~ Slime ball Lawyers everywhere.",0,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,JoeSnow,,
8,German lawmakers approve 'no means no' rape law after Cologne assaults,"So, how many sexual assaults would there be if Muslims were burned in ovens?",1,Probably a lot less. What's your point?,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,woetothegutless,,
9,German lawmakers approve 'no means no' rape law after Cologne assaults,Probably a lot less. What's your point?,1,"Great, now lets have a talk with Africa.",German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,4armshiver,@woetothegutless,"So, how many sexual assaults would there be if Muslims were burned in ovens?"
10,German lawmakers approve 'no means no' rape law after Cologne assaults,"In true liberal fashion, an ordinance that no means no, was passed. That will end all rapes by muslimes in Fatherland.",1,,German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,Kenyantraitor,,
11,German lawmakers approve 'no means no' rape law after Cologne assaults,The Russians raped millions of German women and children at the end of WWII. Now the German people have to contend with this bunch of savages? How pathetic is it that a country has to cow-tow to a hoard of uncivilized migrants. Take your country back Germany.,1,"Great, now lets have a talk with Africa.",German lawmakers passed a bill Thursday that will make it easier for victims of sex crimes to file criminal complaints if they rejected their attacker's advances with a clear no.,4armshiver,,
