,text,class
0,as of march th the booklet had been download over time and count,0
1,in order to help increa the booklet download it would be great if all stormfront who had youtub account could display the follow text in the descript box of their upload youtub video,0
2,simpli copi and past the follow text into your youtub video descript box,0
3,click below for a free download of a color illustr page ebook on the zionistengin intent destruct of western civil,1
4,click on the download mb green banner link,0
5,booklet updat on februari th,0
6,now with over download,0
7,pdf file docx watch the hour video version of the zionist attack on western civil white yt comment hyperlink txt hyperlinkedbackup dtxt v hgalpm are you interest in help spread the booklet download link across the world,0
8,then whi not simpli copi thi text link and past it into the descript box of your youtub video,0
9,thank you in advanc download the youtub descript box info text file below infotxt,0
10,she may or may not be a jew but she s certainli stupid she seem to think the black wo nt kill her alongsid everi other white they can get their dirti hand on what a muppet,1
11,thank you for the info i will deffinetli look into them,0
12,i hope there is room for one more as i am veri excit about thi,0
13,i just came across thi piec of garbag,0
14,comment say she is from sa,0
15,warn graphic,0
16,die antwoord cooki thumper offici video youtub,0
17,the white are more in the rang of million,0
18,i believ thi can be higher sinc i ve read report that especi white in the free state were not count in the latest censu,0
19,thank you for post your stori,0
20,i think you should write a book as well,0
21,i ve alway consid teach as one of the profess i would like to get into but not in a neighbourhood like that never kid like that disgust me,1
22,and the sad thing is the white student at those school will act like that too,1
23,i guess i will just stick to homeschool my kid when and if i have them,0
24,randi blazak is an expert all righth teach sociolog of star trek a credit class student actual pay for,0
25,no wonder young peopl ca nt get job,0
26,they take underwat basket weav cour and they have no worthwhil skill on account of angri still my favorit comment,0
27,old tarzan movi zulu and king kong have mani such imag,0
28,nation geograph magazin in the s and earli s are replet with color photo of african villag,0
29,dr albert schweitzer s twohour documentari from wa shown in movi theater everywh,0
30,i think vh tape are avail at amazon,0
31,their god often had pale skin and blue eye but i suppo literaci is nt valu highli by their cultur intelligencia,1
32,when the girl start talk the guy in the middl lip start move,0
33,he wa check her line bad actor ca nt help themselv from do thi,0
34,thi whole situat start to becom realli bizarr,0
35,i wa a right sector support but it start to sound as if they are in fact just isra agent,0
36,i do nt know who to support anymor,0
37,i have read mani post on here say israel give train to us law enforc,0
38,i rememb after the boston marathon bomb watch fox news and they said law enforc wa consult israel for advic,0
39,i believ hi dog would like to get as far away from him as possibl,0
40,free north carolina peterson s particular vikinginm,0
41,so accord to section c what few job there are in our area will be given to these peopl as well thank for post thi,0
42,greec need a man like adolf hitler and now is the perfect time to start a nation polit movement to free your countri from the zionist banker,1
43,the imag below is for the first week of march freeman in court judg bow to sovereign canada youtub freeman in court judg bow to sovereign canada,0
44,i do nt watch tv or hollywood movi,0
45,i know of chri rock and subsequ have hate him for a long time,0
46,he is a pathet littl chimp,1
47,declar war on the innoc white popul of ani nation could easili be justifi by anyon who wa not a white nationalist,0
48,seeker of truth start out by watch the benjamin freedman speak video youtub,0
49,comwatch v hxbcyxjgm then move on to watch the loss of liberti film youtub,0
50,comwatch v kbdgmvodm then watch min obama at aipac youtub,0
51,comwatch v krdycxpbf and then the entir myron fagan video youtub,0
52,comwatch v okksbsoy for a free inform booklet video on the zionistengin intent destruct of white peopl go to youtub,0
53,comwatch v nevtsi,0
54,note,0
55,wntube is now net not com,0
56,they have improv the site,0
57,plea contribut andor donat,0
58,vid code,0
59,tri el paso texa soo much mudd inva that the river is the same color as those playingcross in it year round,1
60,welcom to the front line,0
61,folk faith famili hail victori,0
62,here is a video of the event that is worth watch just to see a beauti white ladi scream scum scum scum f ing scum at the muslim filth,1
63,protest clash dure militari parad in bark,0
64,doe thi not show how stupid these folk can be,0
65,let s order a pizza to be deliv where we are and then tri to assault the driver no one will know how to catch us,0
66,nice to know that are still a few men out there who have a pair,0
67,your courag and honestli are apprec,0
68,jesu christ is lord ind,0
69,y all have a nice day,0
70,i suppo the concept of a male cow and a femal cow produc more cow and the repeat process is too much for them to understand,1
