tweet,is_offensive,sporni_govor
"@jkmcnk Par dni nazaj mi je nekdo razlagal, da je pizzagate končno prišel v slovenske fejsbuke.",ni sporni govor,0
"@PerfidiaDonat @BrezBesed Ko bi le ""mamice opremljajo"" vedele, koliko natrijevega glutaminata je v navadnem paradižniku, bi kar umrle od groze!",ni sporni govor,0
"@sarecmarjan je obsojen na zanikanje vsega kar je dobro, ker je pobegnil, ko bi moral imeti hrbtenico. Mora biti vse na glavo. Narobe so ukrepi - narobe, da so prijeli. Narobe zapore - narobe, da jih ni več. V tej shizofreniji samo še sebi škodo dela. https://t.co/aSbmFn7np3",žalitev,1
"V novi reviji #Demokracija: #Prve #večstrankarske #volitve leta #1990  so bile »#izjemen #mejnik v #slovenski #zgodovini« O njihovem pomenu so za revijo Demokracija spregovorili dr. Dimitrij #Rupel,  dr. Lovro #Šturm in dr. Milan #Zver
https://t.co/rUNhSZw1SS https://t.co/JDkkTX95Ch",ni sporni govor,0
"@Chuppacadabra @Tomi__Ce Nisem na zatožni klopi in ne moreš me porinit tja. Če ti česa nisem odgovoril, me spomni, nisem pa opazil, da bi imela en argument proti mojim.",ni sporni govor,0
@matjasec @Libertarec To še zdaleč ni samo tvoja izkušnja. Zato po moje ni napak razmišljati o sistemskih spremembah.,ni sporni govor,0
@Bulc_EU @BorutPahor Kdo že? Ves narod jim pa tega res ne more izročat. Pa saj imamo @BorutPahor bo že to nardil namesto nas. Hvala!,ni sporni govor,0
"#Nesreca zaprt prehitevalni pas. A1, Ljubljana - južna obvoznica. https://t.co/vWvbaL6iqs https://t.co/3KTK09HG2j",ni sporni govor,0
Kriminalci ogrožajo tudi profesionalne umetniske ustanove. https://t.co/Dnx0dqTkDW,ni sporni govor,0
"#mojtim je v prvih 20 minutah iz igre metal le s 36,3 % uspešnostjo (🇭🇺 36,1). Odstotek zaenkrat kvarijo trojke - zgolj 3/16 oz. 18,7 % (🇭🇺 1/10 oz. 10 %).",ni sporni govor,0
"Predpisi za vzgojo in izobraževanje - kje in kako jih iskati, posodobitve ... https://t.co/khSrtCzdLG #mladiucitelj #ucitelj",ni sporni govor,0
"@meteoriterain Sreča zdaj je, da se ne bojimo levice. Borimo se pa proti prejšnji vladi. Ta je res od hudiča!",žalitev,1
[Ekskluzivno] Nekdanji šef Sove in dobavitelj zaščitne opreme Selan Galetu naročil naj vse pogovore snema in mu jih izroča! Posnetki do Tarče prišli preko Golobiča! https://t.co/X8UBCSnXjE via @Nova24TV,ni sporni govor,0
"@MarjeticaM @Plavalka @SiKomGr @ljkucic Ni śkoda keša.
Saj opcije ni.
Brez terciarja ne gre. Lahko ga samo izboljšujemo.
Podplačana delovna mesta, nezanimiva za sposoben kader iz gospodarstva, ziher ni prav zelo dobra strategija izboljšanja.",ni sporni govor,0
"@MatevzNovak a ni Joc mlatil ,da bo to vse kupil in naredil leteči casino in brezcarinsko stavnico  ? 😀🤪",žalitev,1
"@Andrej02295959 Vlada bo danes nadaljevala obravnavo #ProtiKoronaPaket, ki ga bo moral potrditi tudi Državni zbor. O konkretnih rešitvah bomo lahko govorili šele takrat. Hvala za razumevanje.",ni sporni govor,0
"@AlzheimerUltra @Margu501 Za poblaznele evropske levuharje bi bilo najbolje,da se kolektivno izselijo na Bližnji vzhod in Afriko.Očitno jih življenje med belci in kristijani,hudo moti.",žalitev,1
"Sedaj ko so na oblasti tisti, ki jim cena ni bila všeč, bo mogoče vse skupaj še malo dražje. 🤣🤣 https://t.co/yhXB32ZVQZ",ni sporni govor,0
"Epidemiologi opozarjajo: Politika obšla stroko, nekatere odločitve strokovno sporne https://t.co/lvBZMofnQ1",ni sporni govor,0
"@had Niti ne 🤪
So pa menda odreagirali in po splošnem neodobravanju potem umaknili pobudo...",ni sporni govor,0
".@AlenkaJerajSDS: Ljudje ne morejo zaupati sodstvu, če se @ZoranDELA odpiše 29mio € dolga. Poglejte si slike mariborskih sodnikov s totalitarnimi simboli na pikniku @strankaSD. Sodnik Štoka je podpisoval odredbe za pregon @KanglerFranc, vseh 20 postopkov zoper njega je padlo. https://t.co/yI44gCrZvr",žalitev,1
"Dobr’ nam gre. 

Po kriznih stotih dneh interpelacija...

...al’ prav se piše, interpelacija po stotih kriznih dneh?",ni sporni govor,0
"@petra_cj @petrasovdat Filip pa Otto pravita, da je 10 mio mask po 1,5 USD na voljo. Pa da gre do Budimpešte. Naprej pa sodeč po prijateljskih vezeh z Madžari verjetno takisto. S kamioni. Pravita tudi, da bo ta težka, ker jih vlada zdaj po petaka plačuje. Ne vem, onadva se pa zastopita. No, Filip se.",ni sporni govor,0
@Blaz_88 @AnzeSinkovec @JureMenart @PrometejDD To je biko ze po padcu JJ. To je imel Čufer čez. Jaz ti lahko povem stvari iz časa pred tem. Je pa tudi Čufer bil soočen s težkimi izzivi. Za nazaj je enostavno biti pameten.,ni sporni govor,0
"@ANJABAHZIBERT @vinkovasle1 Ta njihova proslava je bila  morbidna  instalacija umirajoce ""zvezde"".Iz radovednosti sem gledala 10 minut! V Nemciji,kdor javno slavi Svastiko, je kaznovan! Rdeca zvezda je simbol,ki je pobil najmanj 40 milijonov ljudi! A bodo kaznovani? Svetlana &amp; co.SRAMOTA! https://t.co/SIQU4cYLod",žalitev,1
