,text,class
0,merkel would never say no,1
1,expect more and more women to be ask whi are men no longer interest in me we are not go touch you until you pull our pant down,1
2,grope peopl in public was not alreadi illeg what is up with that deutschland,0
3,merkel possibl the on person in charg who is wor than what we have obama is tri his hardest though to get to merkel s level a yearold iraqi man was convict of sexual assault and given a oneyear suspend sentenc a yearold algerian man was convict of abet a sexual assault and attempt assault and given the same sentenc sound exact like how obama is tri to let all of the black peopl in this countri get away with everyth,1
4,they know veri well no mean no they need to pass a law make it legal to castrat those anim,1
5,look like merkel just want to get laid,1
6,but critic two measur in the bill that could see peopl who are not direct involv in the assault punish and foreign deport for sexual harass sound like some german legisl have the same mental disea the democrat and republican who oppo kate s law had deport peopl who are not citizen for act like savag how cruel sarcasm,1
7,she said go not no slime ball lawyer everywh,0
8,so how mani sexual assault would there be if muslim were burn in oven,1
9,probabl a lot less what is your point,1
10,in true liber fashion an ordin that no mean no was pass that will end all rape by muslim in fatherland,1
11,the russian rape million of german women and children at the end of wwii now the german peopl have to contend with this bunch of savag how pathet is it that a countri has to cowtow to a hoard of uncivil migrant take your countri back germani,1
12,great now let us have a talk with africa,1
13,imagin that muslim are the problem,1
14,a oneyear suspend sentenc wow that is realli harsh,0
15,even though the woman was lie about the whole thing lol,0
16,you mean all,0
17,this will work great just like the bracelet they hand out that said do not touch me liebral will never learn hahahahahahaha,1
18,just say no yeah that will stop those nasti rapist especi the muslim,1
19,how doe one say no in arab,1
20,no idea but an ma will translat ani languag into arab,1
21,glock,1
22,women are not allow to say no in arab countri,1
23,x mm,1
24,i think it sound the same as an m bolt chamber a round,1
25,my lilli esin onc in a blue moon got a new choic of the crop chevrolet corvett stingray coup by unavail off of a laptop flash it out,0
26,that is it pass more law you know becaus paper and ink prevent crime,0
27,ignor troll no one said the new law will prevent crime just that it will make it easier to prosecut crimin which is a good thing,0
28,no habla deutch no mean white chick want you more in arab mongrelland german politician that approv of the refug invad are respon for each and everi crime commit by these mongrel german citizen should kick all politician and refug invad out,1
29,german citizen elect merkel who love muslim and until german citizen take their countri back they are respon for what happen,1
30,is she relat to brobama,0
31,when no doe not work it is advi to have some way to protect yourself,0
32,how about veri sharp steel tip shoe give the sand monkey sever hard kick in the groin and it will know the mean of nein,1
33,do not think so becaus these muzzieazzhol are battleharden decad of be kick by sheep and goat made them numb,1
34,a realli sharp knife and it will on happen onc,1
35,germani anoth of those wonder liber socialist countri where citizen can not carri gun,0
36,imagin that muslim are the problem,1
37,merkel legaci soon to come to your citi,0
38,we are arm rufus,1
39,do you realli need a law to establish that no mean no appar so human has reach a sad state,0
40,stupid politician seek relev to the stupid sheepl,0
41,learn to read previous law requir a victim to put up a physic struggl befor the rapist could be prosecut the new law on requir her to say no,0
42,so if they are alon who has to prove it was said,0
43,govern is the imposs of reason platoon,0
44,the german invit this filth into their oncegreat nation by elect merkel and hand law and order over to the eu bureaucrat in brussel now they are too timid to take their countri back,1
45,until the whole world recogn islam for what it is hate speech this type of barbar will on go on the muslim feel it is their right to obey on the law that they agr with sexist attitud against women are a core belief of islam,1
46,if islam was on hate speech they would not be a problem just an annoy unfortun islam preach teach demand applaud and reward violent behavior that is much wor than speech,1
47,if it is not written in sharia law and it is not then they muslim ultim will not care,1
48,it is a shame that you have no idea what you are talk about,0
49,whi are liber alway against deport foreign crimin they must support their crime i guess,0
50,liber elit insul from these crime do not care if we get hurt just so they can feel all toler and all,0
51,liber are alway pander for vote from crimin,0
52,the on thing musiim understand clear is a good azzkick,1
53,the law was not the problem it the rapist member of a peac religion,1
54,neuter rapist,0
55,yes plea,0
56,that includ bill clinton and bill cosbi,0
57,the german better realiz real quick that you can not put a no mean no law in sharia law,1
58,how about just say no more muslim,1
59,you can expel the muslim too that is the problem they do not care about your law,1
60,of cour no mean no but not to a moohslum germani allow these terrorist into their countri now live with it,1
61,i get the impress that the german peopl realli did not have much of a say in it just anoth of exampl of merkel obama progressiv,0
62,no say they elect merkel in larg number,0
63,no the peopl did not the lousi leader did just like odumbo is do here,0
64,there is no law that will civil the uncivil,1
65,so american will never improv then,0
66,this law will work god made everyon samuel colt made them all equal,0
67,except in germani where colt brown luger et al are not allow to practic their function,0
68,yes there is it is call capit punish,0
69,the problem was never the law or lack of a law it was the immigr the politician let into the countri,1
70,and it the reasonon of them anyway that some muzlim countri do not even allow one of these scumbag into their countri not one they knew what would happen with these uncivil anim and what they would do and they did exact that to the women young girl and even have rape men they should never be allow out of their sand box,1
71,that just is not go to work how mani differ languag do german women need to learn to say no in i would assum arab would be a key one,1
72,hot high speed lead is an intern languag,1
73,they should allow the german women weapon to protect themselv,0
74,or father brother cousin of the women should protect them how about that,0
75,sound like islam a woman cannot leav her hous unless accompani by a male relat,0
76,then let them get rape i do not realli care go near one of the women in my famili though differ stori,1
77,if in an islam countri the rape woman is consid to have dishonor her famili and subject to beat by her famili if not subject to an honor kill,0
78,add to that if they do protect the womenth should be no prosecut for them for what they do to these scumbag,0
79,this is a religion that condon the treat of women as chattel you let them into your countri what did you expect,1
80,say no doe not stop rapist keep drove of men with rape mental out of the countri and arm peopl for self defen will help curb the rape,1
81,you can make all the law you want they will not control savag you can dress an anim up like a man it doe not make it a man,1
82,see nfl,0
83,if you have a job do it right they are in demand now and we do not need blackass act like monkey git ur act togeth,1
84,no should have alway meant no just enforc law and stop procrastin and avoid do your job,0
85,and this is the vaunt european societi america s liber want us to emul,0
86,feel the bern,0
87,berni can feel himself thank you,0
88,doe not rememb where it is,0
89,on thursday a local court in cologn hand down the first convict for a sexual offen on new year s eve a yearold iraqi man was convict of sexual assault and given a oneyear suspend sentenc a yearold algerian man was convict of abet a sexual assault and attempt assault and given the same sentenc that is some aggress sentenc there i am absolut certain that will deter such behavior from them in the futur,0
90,this would be a veri reason sentenc if it had one caveat name boil these subhuman scumbag in pig blood,1
91,it is about time good lord,0
92,instead of pass these silli law just get rid of the sand knee grow,1
94,we need to dig him up,0
95,merkel let these slug in for the sake of human with zero vet how about protect your own citizen for a chang,0
96,merkel is a human failur in everi sen,0
97,in the us gun control is not the answer black control is the answer,1
98,too thing i hate the most hoplophob and racist,0
99,too better add grammar checker to your list,0
100,what is a hoplophob someon that hate bunni,0
101,i am all for gun control use both hand aim center mass squeez slowli,0
102,anoth civil countri be destroy by brown invad,1
103,hundr of women were rape and molest in the new year s eve travesti and on one convict so far this on becam a problem when germani open it border to hord of womenh muslim,1
104,and he was given a one year suspend sentenc hard a deterr,0
105,hard to punish a peopl that view women as their toy their religion allow this,1
106,it is not a religion it is a cult of hate death and destruct,1
107,agr,1
108,first immigr them then seduc them and then get them into act where they do not want to hear no and then get them to jail if they are not submiss,1
109,nice but it doe not help these women who were physic assault,0
110,the great german nation brought this on itself and it citizen pay the price for let barbarian in uncheck,1
111,whi do they keep merkel in offic the woman is a disast for germani she know noth and doe everyth to hurt her countri,0
112,she sound like hillari,0
113,and oblama,0
114,but barri love her,0
115,let me wrap my mind around this a woman was rape by two men and a video show her say no and now she is on trial yeah we need european style justic here in america and let me ventur a guess the opposit to the chang that will allow deport of these savag is the liber wing of the equiv to our own democrat parti,1
116,in this case the liber wing you are refer to is in brussel,0
117,and peopl wonder whi england vote for brexit,0
118,hasent no been on the book forev,0
119,but it has never been defin sarc,0
120,depend on what the mean of is is,0
121,huh,0
