tweet,is_offensive
"@jkmcnk Par dni nazaj mi je nekdo razlagal, da je pizzagate končno prišel v slovenske fejsbuke.",ni sporni govor
"@PerfidiaDonat @BrezBesed Ko bi le ""mamice opremljajo"" vedele, koliko natrijevega glutaminata je v navadnem paradižniku, bi kar umrle od groze!",ni sporni govor
"@sarecmarjan je obsojen na zanikanje vsega kar je dobro, ker je pobegnil, ko bi moral imeti hrbtenico. Mora biti vse na glavo. Narobe so ukrepi - narobe, da so prijeli. Narobe zapore - narobe, da jih ni več. V tej shizofreniji samo še sebi škodo dela. https://t.co/aSbmFn7np3",žalitev
"V novi reviji #Demokracija: #Prve #večstrankarske #volitve leta #1990  so bile »#izjemen #mejnik v #slovenski #zgodovini« O njihovem pomenu so za revijo Demokracija spregovorili dr. Dimitrij #Rupel,  dr. Lovro #Šturm in dr. Milan #Zver
https://t.co/rUNhSZw1SS https://t.co/JDkkTX95Ch",ni sporni govor
"@Chuppacadabra @Tomi__Ce Nisem na zatožni klopi in ne moreš me porinit tja. Če ti česa nisem odgovoril, me spomni, nisem pa opazil, da bi imela en argument proti mojim.",ni sporni govor
@matjasec @Libertarec To še zdaleč ni samo tvoja izkušnja. Zato po moje ni napak razmišljati o sistemskih spremembah.,ni sporni govor
@Bulc_EU @BorutPahor Kdo že? Ves narod jim pa tega res ne more izročat. Pa saj imamo @BorutPahor bo že to nardil namesto nas. Hvala!,ni sporni govor
"#Nesreca zaprt prehitevalni pas. A1, Ljubljana - južna obvoznica. https://t.co/vWvbaL6iqs https://t.co/3KTK09HG2j",ni sporni govor
Kriminalci ogrožajo tudi profesionalne umetniske ustanove. https://t.co/Dnx0dqTkDW,ni sporni govor
"#mojtim je v prvih 20 minutah iz igre metal le s 36,3 % uspešnostjo (🇭🇺 36,1). Odstotek zaenkrat kvarijo trojke - zgolj 3/16 oz. 18,7 % (🇭🇺 1/10 oz. 10 %).",ni sporni govor
"Predpisi za vzgojo in izobraževanje - kje in kako jih iskati, posodobitve ... https://t.co/khSrtCzdLG #mladiucitelj #ucitelj",ni sporni govor
"@meteoriterain Sreča zdaj je, da se ne bojimo levice. Borimo se pa proti prejšnji vladi. Ta je res od hudiča!",žalitev
[Ekskluzivno] Nekdanji šef Sove in dobavitelj zaščitne opreme Selan Galetu naročil naj vse pogovore snema in mu jih izroča! Posnetki do Tarče prišli preko Golobiča! https://t.co/X8UBCSnXjE via @Nova24TV,ni sporni govor
"@MarjeticaM @Plavalka @SiKomGr @ljkucic Ni śkoda keša.
Saj opcije ni.
Brez terciarja ne gre. Lahko ga samo izboljšujemo.
Podplačana delovna mesta, nezanimiva za sposoben kader iz gospodarstva, ziher ni prav zelo dobra strategija izboljšanja.",ni sporni govor
"@MatevzNovak a ni Joc mlatil ,da bo to vse kupil in naredil leteči casino in brezcarinsko stavnico  ? 😀🤪",žalitev
"@Andrej02295959 Vlada bo danes nadaljevala obravnavo #ProtiKoronaPaket, ki ga bo moral potrditi tudi Državni zbor. O konkretnih rešitvah bomo lahko govorili šele takrat. Hvala za razumevanje.",ni sporni govor
"@AlzheimerUltra @Margu501 Za poblaznele evropske levuharje bi bilo najbolje,da se kolektivno izselijo na Bližnji vzhod in Afriko.Očitno jih življenje med belci in kristijani,hudo moti.",žalitev
"Sedaj ko so na oblasti tisti, ki jim cena ni bila všeč, bo mogoče vse skupaj še malo dražje. 🤣🤣 https://t.co/yhXB32ZVQZ",ni sporni govor
"Epidemiologi opozarjajo: Politika obšla stroko, nekatere odločitve strokovno sporne https://t.co/lvBZMofnQ1",ni sporni govor
"@had Niti ne 🤪
So pa menda odreagirali in po splošnem neodobravanju potem umaknili pobudo...",ni sporni govor
".@AlenkaJerajSDS: Ljudje ne morejo zaupati sodstvu, če se @ZoranDELA odpiše 29mio € dolga. Poglejte si slike mariborskih sodnikov s totalitarnimi simboli na pikniku @strankaSD. Sodnik Štoka je podpisoval odredbe za pregon @KanglerFranc, vseh 20 postopkov zoper njega je padlo. https://t.co/yI44gCrZvr",žalitev
"Dobr’ nam gre. 

Po kriznih stotih dneh interpelacija...

...al’ prav se piše, interpelacija po stotih kriznih dneh?",ni sporni govor
"@petra_cj @petrasovdat Filip pa Otto pravita, da je 10 mio mask po 1,5 USD na voljo. Pa da gre do Budimpešte. Naprej pa sodeč po prijateljskih vezeh z Madžari verjetno takisto. S kamioni. Pravita tudi, da bo ta težka, ker jih vlada zdaj po petaka plačuje. Ne vem, onadva se pa zastopita. No, Filip se.",ni sporni govor
@Blaz_88 @AnzeSinkovec @JureMenart @PrometejDD To je biko ze po padcu JJ. To je imel Čufer čez. Jaz ti lahko povem stvari iz časa pred tem. Je pa tudi Čufer bil soočen s težkimi izzivi. Za nazaj je enostavno biti pameten.,ni sporni govor
"@ANJABAHZIBERT @vinkovasle1 Ta njihova proslava je bila  morbidna  instalacija umirajoce ""zvezde"".Iz radovednosti sem gledala 10 minut! V Nemciji,kdor javno slavi Svastiko, je kaznovan! Rdeca zvezda je simbol,ki je pobil najmanj 40 milijonov ljudi! A bodo kaznovani? Svetlana &amp; co.SRAMOTA! https://t.co/SIQU4cYLod",žalitev
"@ZigaTurk @martinvalic @Josko71CE @LajnarEU @RTV_Slovenija @JozeMozina Čestitke in hvala, lepo vas je bilo poslušati.",ni sporni govor
"@multikultivator Zakaj pa samo 7 dni?
Čas za oceno švedskega modela bo pa sicer po drugem valu.",ni sporni govor
"@janez_tomazic Ukrepi gredo kot kaže v pravo smer. Kar je dobro za vse. Absolutna servilnost do vlade, katerekoli, nikoli ni novinarska vrlina, to želim poudariti.",ni sporni govor
"Glede socialnih pomoči,  ima predsednik vlade delno prav. Prejemat jo mora tisti, ki jo resnično potrebuje.
Samo zakaj se tu gleda vedno Slovence. Nič tujce in migrante. Ti živijo na sociali po večini, celo v tujino jim jo naša država nakazuje.",žalitev
@JozeBizjak @ToneCricket Pa kaj pa je njemu kupit nov avto... kot meni pico....,ni sporni govor
@nadkaku Ogled mlajšim od 15 let dovoljen le v spremstvu staršev ali skrbnikom.😂,ni sporni govor
"@TS30040393 @JJansaSDS Ne, tote so ofce na biciklu 😜 https://t.co/EJddHQWWuf",žalitev
"@MatjaNemec @JozeBiscak @milan_brglez Resnično degutantno je primerjati Tita in Mussolinija. Med njima namreč ni nobene razlike, razen te, da je Musolini 45- tega visel, Tito pa je revolucionarno morijo nadaljeval celo po končani vojni, torej po letu 45 !
Kdaj bo odstranjen napis na Sabotinu ?!",žalitev
"@MarjeticaM To ne razloži tega, zakaj sta v VB, ki se ukvarja s 164 okuženimi, dva že umrla, v Nemčiji, ki zdravi 711 obolelih, pa na srečo nihče še ni umrl. Morda odvisno od starostne strukture okuženih.",ni sporni govor
"#Požareport 
Ponedeljskova nezaupnica proti @APivec zarota in prevara: ljubljanski @stranka_DeSUS terja zapisnik in pojasnila, vpletena tudi @isoltesEP in Primož Heinz?!
Več: https://t.co/Yol26bY39e @tomazgantar https://t.co/EQvO0ygCZG",ni sporni govor
"@AngelcaSonja @BineTraven @ZenskiforumSD @strankaSD @Mladiforum In to stranka, ki na veliko zagovarja gender teorijo!🧐",ni sporni govor
"@KokJan get woke on the ""FDVjovci so enako dobri o znanosti kotznanstveniki"" question",ni sporni govor
"Merklova bi pomoč vzhodu Nemčije, Morawiecki bi kmetijske subvencije, Macron bi Erasmus, Kurz in Skandinavci bi čimmanj. Je že jasno za kaj se zavzema odstopljena @vladaRS?
https://t.co/iQ73zH5sKd",ni sporni govor
"@Primoz_Kovacic Jih še kdo uporablja???
Kar se mene tiče naj jih na stacionarce dajo🙊🤣🤣🤣",ni sporni govor
Bo koronavirus zamaknil integracijo Slovencev iz Venezuele? https://t.co/rqNlxqLlq3,ni sporni govor
"@dusankocevar1 Pravijo, da gre osel samo enkrat na led. Nekaterim vam pa uspe to večkrat. Vsak novi obraz v politiki pa to. Ni se vam treba bati za nas, ker tega ne počnemo in na stvari pač kritično gledamo.",žalitev
"@PreglArjan Kronologija dogodkov pravi drugače. Začela je ona.
Začelo se je že v Yu, ko so morali nekateri izprazniti stanovanja , če se je ona najavila na obisk.
O njej kot o osebi, vse najslabše.
O njej kot o umetnici nič. Saj je bil tudi Hitler zapovedan umetnik za svojega življenja.",žalitev
"Nasmeh je najlepši ""make-up"" na obrazu, prikrije vse sledi, tudi tiste, ki na zunaj niso vidne.
Nisi ga s ponosom 😁
Želim vam prijeten in nasmejan dan https://t.co/EuTh6gpySs",ni sporni govor
"@damijanterpin Ne moje dejanje, določba zakona. US ni nikoli ugotovilo, da je DZ ravnal napačno, ampak da je bil zakon neustaven. Lepo popoldne.",ni sporni govor
"No to, kakorkoli obračamo, prostor za življenje in dejavnosti v mestu določa to, kako se po prostoru premikamo. https://t.co/MB1emrbfK9",ni sporni govor
"@BineTraven @MStrtak @Pertinacal @drVinkoGorenak @BojanPozar @sarecmarjan @RTV_Slovenija Ahaha, dobra finta :))))

Ne, cenzurira po partijski liniji, še navajen iz Požarevca (Maribora, očka in stric sta takrat vladala).",žalitev
"Pa kaaakooooo??? Če smo pa ja vsi doma, samo zlobni nekaj o registrskih natolcujejo... https://t.co/J1whPxML9v",žalitev
"CCA. 1800 MRTVIH ZARADI KORONAVIRUSA V ENEM DNEVU V ZDA: 
US reports biggest daily increase in coronavirus deaths, with NY at epicentre https://t.co/BsWU1WwATu",ni sporni govor
"@ModernaKmetica @TanjaCvitko Midva sva za mulca nekaj časa nabavljala pri junaku, ki je delal krasne torte. Potem je pa enkrat bila situacija, da takrat, ko smo rabili torto, on ni mogel naredit. Pa je bilo treba zgruntat. Zdaj pa mami dela fenomenalne torte, ki vsakega mulca iz hlač strese :)",ni sporni govor
"Ne pozabimo na Grčijo, kjer se brani Evropa in njena civilizacija! https://t.co/oM9glU6OE2",žalitev
"Zakaj je domnevno vdiranje hekerjev v farmacevtske firme in iskanje podatkov o cepivu dobilo toliko medijske pozornosti in zakaj enake obsodbe niso bile deležne firme, ki so te podatke skrivale oz. jih očitno niso hotele deliti?",ni sporni govor
"... za migrante topli zabojniki, javni zdravstveni delavci in pacienti v mrzlih šotorih? https://t.co/6TIhTZx1Nj",ni sporni govor
"@Soulata @ukclj @JanaNovak11 Ne zali SDS - a, ker zdaj najbolj garajo .. ker ce bi imeli se komika na sceni, bi bila stvar se dosti bolj alarmantna ... najboljsa vlada in ministri do sedaj .. vse pohvale ..",ni sporni govor
"@_modroplavo A ti je že kdo povedal, da so tvoji komentarji in vprašanja največkrat uporabni manj kot prst pri kronični driski?",žalitev
"@svoboda_govora @APivec @PocivalsekZ @MatejTonin @blaz_zgaga @p_zoran @Matej_Klaric @Blaz_88 @Svarun_K @AnzeBozic @TjasaSlokar @SabinaZonta @mihamale @SuzanaP24ur @UrosEsih @MatijaStepisnik Vlada ima nadzor, Predalič je samo posredovalec. Ti je dobro znano.",ni sporni govor
"Mogoče to izkoristimo, da vzpostavimo tud gospodarski kontakt. Sicer spet, si tega najbrž ne želimo? Ali pač. Glede na to, da z USA je precej nejasnosti..",ni sporni govor
"@RomanVodeb @IgorPribac Upravičeno. Vse levajze vas je lahko sram. Tudi jaz sem po nekem dost zoprnem testu neke sorte levičarka, pa si raj luknjo v koleno z bormašino zvrtam, kot da bi podpirala to podivjano drhal. Iskreno, me je bilo kar malo sram, ko se je pokazal rezultat. https://t.co/N21LH1Bmh8",žalitev
"@kkogovsek @specificen @paroksizem @MartinTincek @ukclj @TarcaRTVSLO @RTV_Slovenija @rtvslo Obrni se na fašista Kordiša. Pa poglej, če je Šarčev bazen še prazen in so krofi že vzhajali... 
Najbolj mi gre na živce osladno govorjenje politikov, s katerim lovijo naivne volilce, dejansko pa nikoli ne izpolnijo svojih obljub. Laž je nesmrtna duša komunizma.",žalitev
"Oboževalci v odprtem pismu prosijo za zamik premiere novega Bonda

https://t.co/1HlL5beWoj",ni sporni govor
"@Turinek Minister za družino ne bi sploh smel biti nekdo žene/moža in brez otrok. Le tak človek namreč ve ""za kaj se gre"".",ni sporni govor
"@Miran7777 @MarkoSket imamo romska (ciganska) geta kjer so isti vzorci obnašanja kot v črnskih
https://t.co/sUn8mjhuQU",žalitev
"@FrenkMate Odsvetujem boj z nekom, za katerega menite, da vas bo vedno premagal ali ugnal. Prekvalificirajte nasprotnika.",ni sporni govor
"@TankoJoze Cimprej, tem bolje..dosti ste lomastili po demokraciji in drzavi..",žalitev
"@strankalevica @LukaMesec Ne pravim da je prav, niti narobe, enostavno ne vem. Me pa zanima, koliko opozicijskih amandmajev je takratna koalicija sprejela ob sprejemanju letošnjega proračuna? In prosim, dajmo se pri štetju za pretvarjat da Levica ni bila opozicijska stranka.",ni sporni govor
"In ja, uganili ste... naša politika je seksistična. Le kdo se je spomnil teh kvot, a? Medtem so američani seksisti in rasisti. Pa še zdaleč se teh kvot niso spomnili desničarji aka ""rasisti"". #sampravim",žalitev
Ocitno ni slo zgolj za nekaj nedolznega... Hvala prijatelj @Tomas38A za tale nazorni prikaz 👍 https://t.co/A3rWFmNfv2,ni sporni govor
"@petrasovdat Rut mi smo v Lj. morje bo malo počakalo, da se te horde razkadijo. Tole ni čist normalno na meji. https://t.co/awJE2UuAWh",žalitev
"@aleshojs Bog ve a je pobudnik levicar? Edino ti imajo interes ze 70 let skodovati ljudem neglede na ceno. Prav nobene razlike ni v koncnem rezultatu za nekega 60,70 letnika a ga zadane krogla pred breznom ali doleti koronavirus mogoce le, da krogla hitreje opravi!",žalitev
"Jaz pa samo čakam ,kako dolgo še bo tist kljun sukal. https://t.co/aPf5UkfA9F",žalitev
"» DOMOVINA », POGLEDI Kaj si L. Jelušič, Žiga Turk, Jože Možina in Ernest Petrič mislijo o domovini (video) 18. junija 2020 Svoje razmišljanje o delovanju demokracije je predstavil tudi dr. Turk, ki je dejal: »Ali demokracija funkcionira ali ne, se izkaže v tem, ali ima rezultate",ni sporni govor
"@megafotr @drfilomena Kako že gre to? Ne prebavljate sekte, hkrati jo pa podpirate! Za to logiko pa že rabiš briljantni um..sicer pa čemu bi""naša""  vojska rabila tanke na ulicah..da bi s kanoni napadla virus?!",ni sporni govor
"Khm, nekako se ujema z otvoritvijo v Šiški. Mogoče je pa vse res https://t.co/LUGBw6w6BH",ni sporni govor
"@TankoJoze @BStrnisa Če bi želeli poslati vojsko na severno mejo, bi bili Levičarji takoj ZA.",žalitev
"Uau, #OrangeManBad bolniki še vedno po zobeh vlečejo Trumpa in vremensko karto? Ker je izpostavu morebiten worse-case-scenario? Ker četudi so bili vremenarji prepričani v drugačno sliko, se slednji tudi (pre)pogosto motijo. https://t.co/a5KG2My1dF #noro",žalitev
In potem se oglasi “kapitan Costa Concordie”. Neokusno. https://t.co/rZfJfWTEjJ,žalitev
"(PODKAST) Polcajt #22 je v @vecer-ovi podkastarni. Z @mihadajcman ugotavljava, kako se je na prvi domači tekmi po epidemiji znašel @nkmaribor, kakšna bo vijoličasta ekipa v naslednji sezoni in kdo ima največ možnosti v troboju za naslov v @PrvaLigaSi.   
https://t.co/dMFLe1kmmr",ni sporni govor
"@SavliKlemen @JJansaSDS Iz tvojih ust v božja ušesa, samo dopovej to ljudem, ko leva medijska ofenziva dela vse, da jih očrni.",žalitev
"Maja 1989 smo z  Majniško deklaracijo odločno rekli – “hočemo živeti v suvereni državi slovenskega naroda”, osamosvojitev pa ima korenine v cvetni nedelji 1990
https://t.co/ZCfbPUvBso https://t.co/FLg96DlI2U",ni sporni govor
"In tukaj bi vam sedaj povedal zgodbo, o kateri sem razmišljal kar nekaj ljubezenskih mesecev majev, ko so se od Maribora skozi Dravsko dolino proti Pliberku valili avtobusi hrvaških in bosanskih registracij, okrašeni s slikami Anteja Pavelića in drugih ... https://t.co/58lP3i7w91",ni sporni govor
"@matejzalar Iz radovednosti... Katera pa je ""najboljša guma na svetu""? :) For future reference...",ni sporni govor
@EddieDonovan @matejpirnat Upam da je res antifašist in da sta oba njegova starša in tudi vsi na tej policijski postaji in vsi v mestu iz katerega je antifašisti. Ampak to ne pomeni da ima ta fant resne probleme da je šel razbijati avto. Bo moral delat na tem da to odpravi.,ni sporni govor
"@vladaRS @NIJZ_pr @MinZdravje To je ca. 35 novo okuženih ob “normalnem” številu testiranj.
Kaj boste naredili @vladaRS @NIJZ_pr @MinZdravje, kako boste ukrepali?
Aplikacija ne bo rešila vedno večje težave, kot tudi ne Krek, ki je zgubljen v (svojem) vesolju.",žalitev
"@DFK01 @Miha_Sch @MarkoZupan2 @ales_primc @hladnikp @IgorGoste @RTV_Slovenija @Nova24TV @RadioOgnjisce @druzinadoo ""Če komu pomaga: Avstrijci so pred kratkim odločili, da bo bosta pri njih TV in radio naročnina še naprej.""

Mogoče pa njihova televizija ni v rokah skrajnih levičarjev kot naša,....pa je potem za ljudi bolj sprejemljiva?",žalitev
"KAPO DOL! 🙇‍♀️ S SVOJIM TRUDOM IN DELOM USPEŠ DOSEČI TOČNO TO, KAR SI SI ZAMISLIL, ZAŽELEL ... BRAVO! 👏 https://t.co/dz140ddJ88",ni sporni govor
"@Pertinacal Kljub temu, da se ne strinjam, da so v najvisjem placnem razredu, ze zaradi simbolike bi lahko bili v najnizjem (kaj pa je pri 4800€ bruto 400€ bruto vec?), je neposteno recti, da so bile place v prvem paketu... Vsak delodajalec mora ob nastopu dela dolocit placo delavcu...",ni sporni govor
@rokjarc @JanezPogorelec lol. večino je imela takrat levica. v vsakem primeru bi bil ivoljen čefurin.,žalitev
"#ivanretvita RT @Nova24TV: Peticija v podporo vladi zbrala že 48 tisoč podpisov! “Potrebujemo vlado, ki zna in zmore – in taka vlada potrebuje nas!” https://t.co/WRWd1ao2Qp via @Nova24TV",ni sporni govor
Dobre novice z Otoka: zdravstveno stanje Borisa Johnsona se izboljšuje https://t.co/nHBENJXy5r https://t.co/ClZ4vUf6Cy,ni sporni govor
"@FPlevnik @IsmeTsHorjuLa Ni bil članek, novinarji tega itak ne bi dali v javnost.",ni sporni govor
"Včeraj mi je v roke prišlo očetovo spričevalo, leto 1938/39, iz državne petrazredne ljudske šole. Prav dober uspeh na te ocene? 😮 https://t.co/1pzpxstQjo",ni sporni govor
"@BSkelaSavic @breki74 @NIJZ_pr Očitno tako strokovna, da ne poznajo osnov epidemije. Je že res da brez zdrave pameti se nito čevljev ne obuješ. https://t.co/jHRn2gBLX7",žalitev
"Pravijo, da kriza potegne najboljše in najslabše iz ljudi. Ne vem pa, v katero kategorijo, najboljšega ali najslabšega, sodi zatekanje politikov k socialističnim ukrepom za reševanje gospodarstev po Evropi. V nekriznih časih vztrajno korakajo v kontra smeri.",ni sporni govor
"@Mauhlerca @SpelaSpelca Laži brez pol državnega aparata, kot brez pol gospodarstva. 
Pa ne bomo se preveč naprezal, ravno prav, da bo za plače, k nam jih noben ne da...",ni sporni govor
"Frisn, maj 2020. Poglej komu sledi in kaj pise. Hujsi kot ""balkanski spijun"". Blok! https://t.co/No70VoNapC",žalitev
"@FranciKek Ma boli nas, kaj boste vi protestniki rekli.  Prvega od vas, ki se bo stegnil zaradi COVI-19, bom predlagal za Darwin award.",žalitev
"Na Hrvaškem ni zmagala desnica. Zmota. Pomota. Plenković sestavlja koalicijo s sateliti...
https://t.co/RQwhCHEvan https://t.co/xWec29VulO",žalitev
"Ne pozabite zavrteti včerajšnji @Faktor_com .Na @RTV_Slovenija ga gledajo na skrivaj, vi ga pa lahko javno, v krogu družine seveda.
 Včeraj odlična @MatevzTomsic in @NeuroVirtu",ni sporni govor
