,tweet,is_offensive,sporni_govor
0,Par dni nazaj mi je nekdo razlag da je pizzag končn prišel v sloven fejsbuk,ni sporni govor,0
1,Ko bi le mamic opreml vedel kolik natrij gluta je v navadn paradižnik bi kar umrle od groze,ni sporni govor,0
2,je obsoj na zanik vsega kar je dobro ker je pobegn ko bi moral imeti hrbten Mora biti vse na glavo Narob so ukrep narob da so prijel Narob zapor narob da jih ni več V tej shizof samo še sebi škodo dela,žalitev,1
3,V novi revij Demokr Prve večstrankar volitv leta 1990 so bile izjem mejnik v sloven zgodov O njihov pomen so za revij Demokr spregovor dr Dimitr Rupel dr Lovro Šturm in dr Milan Zver,ni sporni govor,0
4,Nisem na zatožn klopi in ne moreš me porinit tja Če ti česa nisem odgovor me spomn nisem pa opazil da bi imela en argum proti mojim,ni sporni govor,0
5,To še zdaleč ni samo tvoja izkušn Zato po moje ni napak razmi o siste spremembah,ni sporni govor,0
6,Kdo že Ves narod jim pa tega res ne more izroč Pa saj imamo bo že to nardil namest nas Hvala,ni sporni govor,0
7,Nesre zaprt prehit pas A1 Ljublj južna obvozn,ni sporni govor,0
8,Krimin ogrož tudi profesion umetnis ustan,ni sporni govor,0
9,mojti je v prvih 20 minutah iz igre metal le s 363 uspešnos 361 Odstotek zaenkr kvar trojk zgolj 316 oz 187 110 oz 10,ni sporni govor,0
10,Predpis za vzgoj in izobraž kje in kako jih iskat posodobit mladiucitel ucitel,ni sporni govor,0
11,Sreča zdaj je da se ne bojim levic Borim se pa proti prejšn vladi Ta je res od hudič,žalitev,1
12,Ekskluz Nekdan šef Sove in dobavitel zaščit oprem Selan Galet naroč naj vse pogovor snema in mu jih izroč Posnet do Tarče prišl preko Golobič via,ni sporni govor,0
13,Ni koda kešaSaj opcij niBrez terciar ne gre Lahko ga samo izboljšujemoPod delo mesta nezan za sposob kader iz gospodar ziher ni prav zelo dobra strat izbolj,ni sporni govor,0
14,a ni Joc mlatil da bo to vse kupil in nared leteč casin in brezcar stavn,žalitev,1
15,Vlada bo danes nadalj obravnav ProtiKoronaPaket ki ga bo moral potrd tudi Državn zbor O konkret rešitvah bomo lahko govor šele takrat Hvala za razum,ni sporni govor,0
16,Za poblaznel evrops levuhar bi bilo najboljed se kolekt izsel na Bližnj vzhod in AfrikoOčit jih življ med belci in krist moti,žalitev,1
17,Sedaj ko so na oblas tisti ki jim cena ni bila všeč bo mogoč vse skupaj še malo dražj,ni sporni govor,0
18,Epidemiolog opozar Polit obšla strok nekater odločit strok sporn,ni sporni govor,0
19,Niti ne So pa menda odreag in po splošn neodobrav potem umakn pobud,ni sporni govor,0
20,Ljudj ne morej zaupa sodstv če se odpiš 29mio dolga Poglej si slike maribor sodnik s totalitar simbol na piknik Sodnik Štoka je podpis odredb za pregon vseh 20 postop zoper njega je padlo,žalitev,1
21,Dobr nam gre Po krizn stotih dneh interpel prav se piše interpel po stotih krizn dneh,ni sporni govor,0
22,Filip pa Otto pravit da je 10 mio mask po 15 USD na voljo Pa da gre do Budimp Naprej pa sodeč po prijatel vezeh z Madžar verjet takist S kamion Pravit tudi da bo ta težka ker jih vlada zdaj po petak plaču Ne vem onadv se pa zastopit No Filip se,ni sporni govor,0
23,To je biko ze po padcu JJ To je imel Čufer čez Jaz ti lahko povem stvar iz časa pred tem Je pa tudi Čufer bil soočen s težki izziv Za nazaj je enostav biti pamet,ni sporni govor,0
24,Ta njihov proslav je bila morbid instal umiraj zvezdeIz radovednos sem gledal 10 minut V Nemcijikdor javno slavi Svastik je kaznov Rdeca zvezd je simbol je pobil najman 40 milijon ljudi A bodo kaznov Svetl coSRAMOTA,žalitev,1
25,Čestit in hvala lepo vas je bilo poslu,ni sporni govor,0
26,Zakaj pa samo 7 dniČas za oceno švedsk model bo pa sicer po druge valu,ni sporni govor,0
27,Ukrep gredo kot kaže v pravo smer Kar je dobro za vse Absolut servil do vlade katerekol nikol ni novinar vrlin to želim poudar,ni sporni govor,0
28,Glede social pomoč ima predsednik vlade delno prav Preje jo mora tisti ki jo resnič potrebujeS zakaj se tu gleda vedno Sloven Nič tujce in migran Ti živij na social po večin celo v tujin jim jo naša držav nakaz,žalitev,1
29,Pa kaj pa je njemu kupit nov avto kot meni pico,ni sporni govor,0
30,Ogled mlajš od 15 let dovolj le v sprems starš ali skrbnik,ni sporni govor,0
31,Ne tote so ofce na bicikl,žalitev,1
32,Resnič degut je primer Tita in Mussol Med njima namreč ni noben razlik razen te da je Musol 45 tega visel Tito pa je revolucionar morij nadalj celo po končan vojni torej po letu 45 Kdaj bo odstr napis na Sabot,žalitev,1
33,To ne razlož tega zakaj sta v VB ki se ukvar s 164 okužen dva že umrla v Nemčij ki zdrav 711 obolel pa na srečo nihče še ni umrl Morda odvisn od star struktur okužen,ni sporni govor,0
34,Požarepor Ponedel nezaup proti zarot in prevar ljublj terja zapisnik in pojasn vplet tudi in Primož HeinzVeč,ni sporni govor,0
35,In to stran ki na velik zagovar gender teor,ni sporni govor,0
36,get woke on the FDVjov so enako dobri o znanos kotznanstvenik question,ni sporni govor,0
37,Merkl bi pomoč vzhod Nemči Moraw bi kmetij subven Macron bi Erasmus Kurz in Skandinav bi čimman Je že jasno za kaj se zavz odstop,ni sporni govor,0
38,Jih še kdo uporabljaKar se mene tiče naj jih na stacionar dajo,ni sporni govor,0
39,Bo koronavirus zamakn integr Sloven iz Venezuel,ni sporni govor,0
40,Prav da gre osel samo enkrat na led Nekater vam pa uspe to večkr Vsak novi obraz v politik pa to Ni se vam treba bati za nas ker tega ne počne in na stvar pač kritič gleda,žalitev,1
41,Kronolog dogodk pravi drugač Začel je onaZačel se je že v Yu ko so moral nekater izpraz stanov če se je ona najav na obiskO njej kot o osebi vse najslabšeO njej kot o umetn nič Saj je bil tudi Hitler zapoved umetnik za svoj življ,žalitev,1
42,Nasmeh je najlep makeup na obraz prikr vse sledi tudi tiste ki na zunaj niso vidneNis ga s ponos Želim vam prijet in nasmej dan,ni sporni govor,0
43,Ne moje dejan določb zakon US ni nikol ugotov da je DZ ravnal napačn ampak da je bil zakon neust Lepo popold,ni sporni govor,0
44,No to kakorkol obrač prostor za življ in dejavnos v mestu določ to kako se po prostor premik,ni sporni govor,0
45,Ahaha dobra finta Ne cenzur po partij linij še navaj iz Požar Maribor očka in stric sta takrat vladal,žalitev,1
