ID,vrsta,tarča,Annotator
1285847928138014720,0 ni sporni govor,,a0
1236543485081198593,0 ni sporni govor,,a0
1277272167365910530,0 ni sporni govor,,a0
1273597090384547840,0 ni sporni govor,,a0
1255866280504168448,2 žalitev,10 politika/-i,a0
1247069449733263361,0 ni sporni govor,,a0
1223567344938684416,0 ni sporni govor,,a0
1264895278928322560,2 žalitev,10 politika/-i,a0
1254689247895961601,0 ni sporni govor,,a0
1278490953322508298,0 ni sporni govor,,a0
1265628621806481408,0 ni sporni govor,,a0
1240942939804704768,0 ni sporni govor,,a0
1288346999809617920,0 ni sporni govor,,a0
1230553540122173443,0 ni sporni govor,,a0
1270252624512790528,0 ni sporni govor,,a0
1243920443951767553,2 žalitev,10 politika/-i,a0
1254988204698218496,0 ni sporni govor,,a0
1268157671556943873,0 ni sporni govor,,a0
1279001734682206209,2 žalitev,11 posameznik,a0
1245979649294958592,0 ni sporni govor,,a0
1243878395911516162,0 ni sporni govor,,a0
1259824365950193666,2 žalitev,8 ideologija,a0
1273079878632591360,0 ni sporni govor,,a0
1246760351150084096,0 ni sporni govor,,a0
1238805933624569857,0 ni sporni govor,,a0
1268300164323610624,2 žalitev,12 drugo,a0
1271133515808215041,0 ni sporni govor,,a0
1241098460826304512,0 ni sporni govor,,a0
1256169385506594824,0 ni sporni govor,,a0
1282372630193086467,2 žalitev,8 ideologija,a0
1254520347501539328,0 ni sporni govor,,a0
1259757706400980992,0 ni sporni govor,,a0
1242418283921448961,0 ni sporni govor,,a0
1267690619503337472,2 žalitev,1 ksenofobija in rasizem,a0
1232015683636121600,0 ni sporni govor,,a0
1249016805068324867,0 ni sporni govor,,a0
1266597853096484864,2 žalitev,8 ideologija,a0
1226838825445531649,2 žalitev,10 politika/-i,a0
1225856733127593985,2 žalitev,10 politika/-i,a0
1236277851684511744,0 ni sporni govor,,a0
1281085891012890630,0 ni sporni govor,,a0
1230880998008774658,0 ni sporni govor,,a0
1231839322762088448,0 ni sporni govor,,a0
1230773842089521155,0 ni sporni govor,,a0
1280258514930356225,0 ni sporni govor,,a0
1238437939052511232,0 ni sporni govor,,a0
1248548533172686848,2 žalitev,10 politika/-i,a0
1264842441015918599,2 žalitev,11 posameznik,a0
1238814657940422656,2 žalitev,12 drugo,a0
1230401709282877440,0 ni sporni govor,,a0
1289134251951247360,0 ni sporni govor,,a0
1266609409490386946,0 ni sporni govor,,a0
1243838399204790273,2 žalitev,9 novinarji in mediji,a0
1244206205024829441,2 žalitev,11 posameznik,a0
1247749029359828997,0 ni sporni govor,,a0
1240188347823394816,0 ni sporni govor,,a0
1241685861370077191,2 žalitev,2 begunci/migranti,a0
1255446465184399361,2 žalitev,3 islamofobija,a0
1284180094953705472,0 ni sporni govor,,a0
1232713509781278720,0 ni sporni govor,,a0
1244373028701683712,0 ni sporni govor,,a0
1273366792782700546,2 žalitev,11 posameznik,a0
1239620140410580994,0 ni sporni govor,,a0
1238764953441533953,0 ni sporni govor,,a0
1272571363946106882,2 žalitev,8 ideologija,a0
1271348859860590592,2 žalitev,10 politika/-i,a0
1235252173375762439,0 ni sporni govor,,a0
1280802258289135617,0 ni sporni govor,,a0
1267052706906230784,2 žalitev,1 ksenofobija in rasizem,a0
1284011940726149121,0 ni sporni govor,,a0
1254131619897782272,0 ni sporni govor,,a0
1287658386809643008,2 žalitev,10 politika/-i,a0
1245769988734140419,0 ni sporni govor,,a0
1269227521398185990,2 žalitev,10 politika/-i,a0
1267341388242444289,0 ni sporni govor,,a0
1261313113950949378,2 žalitev,11 posameznik,a0
1252219890330632198,2 žalitev,8 ideologija,a0
1271816353322844203,2 žalitev,11 posameznik,a0
1275665789786431493,0 ni sporni govor,,a0
1243831937208389634,0 ni sporni govor,,a0
1262121913146576899,0 ni sporni govor,,a0
1242191485161943042,2 žalitev,8 ideologija,a0
1273353382296772608,0 ni sporni govor,,a0
1223967000378126336,2 žalitev,8 ideologija,a0
1245643420225261570,2 žalitev,11 posameznik,a0
1272622315315113985,0 ni sporni govor,,a0
1241075897136041986,2 žalitev,9 novinarji in mediji,a0
1245209898142568448,0 ni sporni govor,,a0
1270361445398720513,0 ni sporni govor,,a0
1241330264359518208,0 ni sporni govor,,a0
1238544500030672897,0 ni sporni govor,,a0
