,text,is_hate
0,i join gab to remind myself how retard jew hater are you would not be type on your abacu without them you retard,1
1,thi is what the left is realli scare of,0
2,that liter look like a monkey whi are we suppos to pretend it a person bc it wear a red hat,0
3,dumb cunt,1
4,it make you an asshol,0
5,give it to a soldier who ha defend it then tri to burn it show me what a badass you realli are the flag is helpless to stop you or fight back complet unnecessari act it prove noth and accomplish noth it onli show your a ignor weak faggot like kick a puppi it show how weak and worthless you are,1
6,so they manag to provid a whole lot of data except a critic littl nugget gay men are well over half the patient who present at sti clinic and are probabl the sourc of the emerg antibioticresist pathogen,0
7,yup i can not smoke in a bar becaus it harm to some faggot that is get drunk do drug have an std potluck w the boy later seem legit,1
8,hi there i am keith i hope you are do well i would be veri honor to get to know you if you would be interest puglif,0
9,fuck off,0
10,wow what a rude cunt,1
11,you sound like a faggot,1
12,hi develop give us a follow for updat and help with gab api,0
13,stop the racis on here it is despic,0
14,lol you can not even spell it nigger,1
15,well you are the fucker that lit the match fakepatriot,0
16,lock that racist nigger up what kid you been fuck man they are all ingrat lowest form of life on the planet worthi of death run mother fucker run we are cmo and we will bring the peopl wrath down onto your sick head,1
17,selfhat white cuck on parad,1
18,doe the blind guy even know what the sign say,0
19,hey retard and cross dresser illl say nigger all i want and a nigger still ha to get a job an earn money like my white privileg honki ass kill your self,1
20,so after year and nearli k follow twitter suspend my account i am still bug them to give specif as to whi and appeal but not get anywher oilrang need to find my friend here anyon,0
21,you will not find ani friend here by whine about how mean twitter wa to you,0
22,anoth dumb ass vile nigger in that gif it is rich thank to kike stupid pervers white hate it when peopl use mud scum or white scum gif to make their point unless the target is the scum usual not the case he ha done lot of antiwhit crap to includ video promot decapit white woman but sinc he becam a trumtard he is now supposedli cool,1
23,who is the real nigger in the woodpil,1
24,like i liter address thi point and you complet ignor it like a stupid retard nigger,1
25,kany west stand by the second amend we have the right to bear arm,0
26,hey damn white foolsin some of kany song he ha call upon black to get gun to kill white peopl that is whi he support the nd amend so black can get gun to kill whitey,0
27,you are not just a stupid nigger lover but also extrem naiv,1
28,nordic identitarian confirm,0
29,whi is thi nigger tariq nashe so desper to look like a white man i do not have twitter account so i can not ask can you,1
30,divers hire ii the rapen,0
31,kamala harri the sjw slut slept with a nigger to advanc her polit carrer,1
32,i do not like you fuck the peopl that follow you do not give a shit enough about what you post to read it whi the hell would i sort threw that retard garbag you win some you lose some that is not even applic you dens fucker,1
33,no shut up faggot they are clone of jordan jereb,1
34,right and kavanagh wa a serial gang rapist and massiv drunk and kany is a crazi nigger who can not read you guy and your fuckin label we all know who is produc the massiv amount of gay porn in thi countri,1
35,hey slate i wa born and bred in brooklyn new york by a puerto rican mother an italian father ask me if gab is muh white supremacist safe space i dare you white supremacist still have a safe space onlin,0
36,white supremacistanyon who is not a nigger loser,1
37,muh dick is the nigger sockpuppet line ugli children appli though id stick more to the kick out of everi countri they ever exist in and are natur parasit line sinc it actual ground in realiti and just a fact that can not be argu against,1
38,ellison i am consid resign from the dnc,0
39,good fuck dirti muzzi,1
40,nigger sow make good nigger repel becaus of their look and smell,1
41,onli pussi jew like to silenc whi doe obviou evid offend you so much well pussi jew forc ppl to mute with their faggot pedo porn so what i am sayin is do not start w ur pedo porn you pussi jew,1
42,is thi peak redneck,0
43,nobodi want your nigger love who are she is your nigger,1
44,obama spent year blame bush for bad economi now he ha spent year take credit for realdonaldtrump success in the economi what do we call thi,0
45,nigger,1
46,some do jon but it downright retard to suggest that all jew do all faith have some wick peopl carri their banner i imagin,1
47,a queer nigger on a sissi bike the bike need to be pink i think lol,1
48,whi must you be so rude are you angri that my peopl are superior fortun there is noth you can do about it be mean to me all you want you will never be anyth more than a replac compon to be put to work enjoy your sunday back to work on monday meanwhil i shall enjoy my gloriou life mayb i will go golf,0
49,how doe lie cheat steal murder and be a treason faggot make you superior,1
50,so i get dox and flame and i am just suppos to close my gab account cancel my trip to the border and hide in shame well if they had someth hard that actual embarrass me i might consid that ah silli shitlib thi are not my first rodeo and thi are not the first time i have been dox you got noth,0
51,appar some peopl fear that you will commit journal in public,0
52,my journal will probabl devolv into everyon hear a hillbilli me scream holi crap did ya see that i will deliv my best but i will not guarante it will look profess,0
53,so far no fairi gay faggot tranni porn nice,1
54,thi is a beauti thang,0
55,good heaven sucker punch like two against one is nigger fun,1
56,lol he here to proclaim he wrong again about the kavenaugh accus d he a retard homo but at least he persist d that is the perfect foot soldier for white supremacist,1
57,what a shit show go to wwf if you want to just hug your damn oppon that is not fight,0
58,shut up faggot,1
59,ill break you ill beat the nigger cum out of your cocksuck,1
60,whi would commi twitter ban him should not be a surpris,0
61,at least the nigger tell the truth about the yidswatch him on jewtub,1
62,donald j trump retweet melania trump flotu thank you malawi am oct,0
63,what ha malawi ever done for the west the onli thing they are good at is take our resourc and beg for more gib,0
64,fuck up jew cunt,1
65,add onewaydotcom to the gab censor hall of martyr alongsid the great jsello and the not so great blitz and pepemem,0
66,topkek,0
67,cheer on censorship that is gab palac guard a bunch of scum who want user ban for their opinion that wa alway what side stood for,0
68,you cheer on censorship with the dox of side what goe around come around,0
69,sidephas wa lobbi to ban user two down two to go he said then he wa gone,0
70,that wa a quick dread,0
71,i would never have dox side but i do not miss him,0
72,wow even i do not bitch about side for day on end the way you do i do not even have to make stuff up to truth be angri at him side leav gab wa a chickenshit move look back at it but between the dox innoc ppl yell at good friend major fuck up with hi girlfriend me he felt it wa the right choic at the time it wa hi choic he wa not ask it wa not pleasant but he took the out side felt it would protect everyon it ha not but your bullshit comment realli take the cake movethefuckon youarecommiescum cc sockalexi gee pepefarmrememb militanthippi deplorablebuild broken kgrace snugglebunni deplorablesatoshi loafoftoast,0
73,that should be your final word bbif he want to continu to drone on about side let it be to himself you have said all you have to about it,0
74,i still like kick the retard from time to time over hi normal bsbut thi i came back to after a long tripyeah dumbass screw up thi time,1
75,so today is nation come out day it been over year sinc i first came out to anyon and it wa the most nerverack thing i have ever done i would rather present my master thesi present for continu hour than reliv that moment anyway here i am in a pridecolor eagl tank top after a killer sunburn from a day out on sebago,0
76,kill yourself faggot,1
77,nah thi are not it chief,0
78,these are your suppos alli muslimfight wake the fuck up research the bolshevik revolut and holodomor if you are white heterosexu and christian your an enemi combat,0
79,fuck off po i had enough of your retard kind today go play somewher els muslimgirl,1
80,goyim know what is my kind,0
81,i want the truth we are not get it,0
82,well the good news is i do not think you have to be a white nationalist to be piss at the left and their racism i think a good deal of american are sick of their white privileg thi everyth is white peopl fault that stuff so you do not have to be a faggot ass nazi to be on the same page as ten of million of american,1
83,you just have to be an illiter apart renter and oblivi to the balfour declar holodomor haavara agreement katyn massacr and you can join thi kike cult,1
84,the trumpcurs michael avenatti horribl veri bad week lawyer hit with avalanch of legal financi and person woe,0
85,lol the trumpcurs megyn kelli today cancel by nbc coanchor to take over,0
86,she is a stunt cunt for the jew news who toss her under the bu after lose her use ever sinc her st question to trump in the primari i have hate thi shit excus for a report then she affirm it in an interview w putin you are an egomaniac thot who is final got what she deserv,1
87,you been neg gear your score recent you been piss off some kikey nigger lover johnlarson,1
88,donald trump suggest someon is pay migrant in caravan,0
89,he also suggest he wa be spi on sweden wa out of control the exist of a deep state that mainstream media wa fake news that elizabeth warren wa not a nativ american,0
90,and here you go you npc faggot,1
91,orwellgood all we want is truth justic and million in cash,0
92,thi doe not happen with white male that die in custodi it amaz how all these nigger crimin are all home love church go choir boy lordi lordi prais jesu dead nigger result,1
93,he turn around he start point to me he talk to the peopl at the tabl just rattl on about how white peopl are the devil are the world i hate white peopl we should get rid of white peopl npc creat by cnn,0
94,if you are sit at a tabl mind your own busi and some violent third world retard start attack you give him the han solo treatment and shoot him with your gun under the tabl,1
95,gee you did not know that a jew or the jew media will not necessarili admit a person is jewish when they are a krypto jew that infiltr as someth els,1
96,your obsess denot you are a jew or a retard christian zionist,1
97,nigger pleas,1
98,is thi that casino nigger ken younou,1
99,the antifa punk are plan to gather in citi nationwid for the mid term elect to becaus havoc chao and attack trump support we can longer remain on the sidelein watch we have to meet them head on maga kag gabfam britfam speakfre buildthewal draintheswamp deepstat spygat winningusa wethepeopl wwgwga onlycrazyisleft maxin billiejeanmoo lindaricci missteek valiantbriton americanthekor kimharm ishudnbher lmartin zero kellkel sissygirl trumpetteusa starbabi rebelangel greatauntgrac auntygreen oppoten wickedwarrior britgirl sorrel tradit lilia xoxopro jasmin detailsgrptour usagirl debbin sandyde blondebeast kimharm cgijo mimiplusfour doradeplora katiwil scottishblood conservativeg womenfortrump nativecaltrump proudpatriot warriorhuntress gabconserv mcga gypsi kellyu roguecyborg direito blkdiamond traci holli cheekybroad purtyprincess aa gungirl jjdancen frauleingermanangst roseann lexiquin nancyqanon muslimfight tessa lebaron malmosweden jamiejag hidehunt skyoversc spunkylilmama izlamisshit erickajacob moonkat jaydafransen margi geece sardon tiredofli punkylilredhead trish annettewayn blessedhart theislandgirl cheekytigress hempoilcur sunbabi forwardfocu jlc britainfirst pberotician texanerinlondon dvasquez ttpac mcarr wildwelshwoman lovelymiss sterang debzbennett beth pamisu dancediva lesajoy sugare sparklepatriot ddawn jackiestbird lorigirltexa dawn tanyap uptheant jadedindbot telegramformongo sparklede karenmcinn abbeyoftheblackswan alicemari teresag donsgirl patriotinfidel smileygirllbrooksrd heikegani tripleblu kimwhocri denisethekelt rellkay dawn ccwin merrymari armedtrumpgod llzw kittentrump juneclemen radicalgrambo brittpettibon olleken patriotwendi londonlass kittentrump abbafath artistpatriot annieannett roxiusa millwood gerryattr flyneagl formerlyshaddowban,0
100,it wa probabl an antifa member who downvot thi post,0
101,i downvot thi fight the jew lowest foot soldier to then be arrest by jewish own cop and spend year in a jewish run nigger fill prison is not natsoc,1
102,astronaught should stick to what they know best get out there in spaceperhap the silli cunt should take hi helmet off next time he have a spacewalk fuck me these lefti scum give me the liter shitsand some of these useless cunt think that have fuck the good ole usa up the ass with their liber crapola they can move to new zealand,1
103,resist leader remain silent on ellison,0
104,somebodi should rape and kill her it the muzzi way,1
105,rapper ti take a swipe at kany west and potu with video of inappropri melania trump lookalik,0
106,thi be a nigger run around yell where all da white wimmin at,1
107,anoth pictur that is worth a thousand word she is at an orphanag in kenya in thi photo the kid want to pray for her thi is a first ladi thi is our st ladi of the unit state of america and i am proud to share amen faith maga qanon wwgwga trump,0
