,Unnamed: 0,tweet,class_multi,class_binary
0,0,par dni nazaj mi je nekdo razlag da je pizzag končn prišel v sloven fejsbuk,0,0
1,1,ko bi le mamic opreml vedel kolik natrij gluta je v navadn paradižnik bi kar umrle od groze,0,0
2,2,je obsoj na zanik vsega kar je dobro ker je pobegn ko bi moral imeti hrbten mora biti vse na glavo narob so ukrep narob da so prijel narob zapor narob da jih ni več v tej shizof samo še sebi škodo dela,1,1
3,3,v novi revij demokr prve večstrankar volitv leta 1990 so bile izjem mejnik v sloven zgodov o njihov pomen so za revij demokr spregovor dr dimitr rupel dr lovro šturm in dr milan zver,0,0
4,4,nisem na zatožn klopi in ne moreš me porinit tja če ti česa nisem odgovor me spomn nisem pa opazil da bi imela en argum proti mojim,0,0
5,5,to še zdaleč ni samo tvoja izkušn zato po moje ni napak razmi o siste spremembah,0,0
6,6,kdo že ves narod jim pa tega res ne more izroč pa saj imamo bo že to nardil namest nas hvala,0,0
7,7,nesre zaprt prehit pas a1 ljublj južna obvozn,0,0
8,8,krimin ogrož tudi profesion umetnis ustan,0,0
9,9,mojti je v prvih 20 minutah iz igre metal le s 36 3 uspešnos 36 1 odstotek zaenkr kvar trojk zgolj 3 16 oz 18 7 1 10 oz 10,0,0
10,10,predpis za vzgoj in izobraž kje in kako jih iskat posodobit mladiucitel ucitel,0,0
11,11,sreča zdaj je da se ne bojim levic borim se pa proti prejšn vladi ta je res od hudič,1,1
12,12,ekskluz nekdan šef sove in dobavitel zaščit oprem selan galet naroč naj vse pogovor snema in mu jih izroč posnet do tarče prišl preko golobič via,0,0
13,13,ni koda keša saj opcij ni brez terciar ne gre lahko ga samo izboljšuj podpl delo mesta nezan za sposob kader iz gospodar ziher ni prav zelo dobra strat izbolj,0,0
14,14,a ni joc mlatil da bo to vse kupil in nared leteč casin in brezcar stavn,1,1
15,15,vlada bo danes nadalj obravnav protikoronapaket ki ga bo moral potrd tudi državn zbor o konkret rešitvah bomo lahko govor šele takrat hvala za razum,0,0
16,16,za poblaznel evrops levuhar bi bilo najbol da se kolekt izsel na bližnj vzhod in afrik očitn jih življ med belci in krist hudo moti,1,1
17,17,sedaj ko so na oblas tisti ki jim cena ni bila všeč bo mogoč vse skupaj še malo dražj,0,0
18,18,epidemiolog opozar polit obšla strok nekater odločit strok sporn,0,0
19,19,niti ne so pa menda odreag in po splošn neodobrav potem umakn pobud,0,0
20,20,ljudj ne morej zaupa sodstv če se odpiš 29mio dolga poglej si slike maribor sodnik s totalitar simbol na piknik sodnik štoka je podpis odredb za pregon vseh 20 postop zoper njega je padlo,1,1
21,21,dobr nam gre po krizn stotih dneh interpel al prav se piše interpel po stotih krizn dneh,0,0
22,22,filip pa otto pravit da je 10 mio mask po 1 5 usd na voljo pa da gre do budimp naprej pa sodeč po prijatel vezeh z madžar verjet takist s kamion pravit tudi da bo ta težka ker jih vlada zdaj po petak plaču ne vem onadv se pa zastopit no filip se,0,0
23,23,to je biko ze po padcu jj to je imel čufer čez jaz ti lahko povem stvar iz časa pred tem je pa tudi čufer bil soočen s težki izziv za nazaj je enostav biti pamet,0,0
24,24,ta njihov proslav je bila morbid instal umiraj zvezd iz radovednos sem gledal 10 minut v nemcij kdor javno slavi svastik je kaznov rdeca zvezd je simbol ki je pobil najman 40 milijon ljudi a bodo kaznov svetl co sramota,1,1
25,25,čestit in hvala lepo vas je bilo poslu,0,0
26,26,zakaj pa samo 7 dni čas za oceno švedsk model bo pa sicer po druge valu,0,0
27,27,ukrep gredo kot kaže v pravo smer kar je dobro za vse absolut servil do vlade katerekol nikol ni novinar vrlin to želim poudar,0,0
